DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
ROUTINE,BROOKLYN,631,"WILSON AVE",11207,"631 WILSON AVE",01/18/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.68968,-73.906122,1,rooftop,631,"Wilson Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"A GUSTO",BROOKLYN,1450,"FULTON ST",11216,"1450 FULTON ST",09/14/17,09C,"Food contact surface not properly maintained.","Not Critical",13,A,40.679905,-73.942818,1,rooftop,1450,"Fulton St",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"BLACK GOLD",BROOKLYN,461,"COURT STREET",11231,"461 COURT STREET",11/02/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.677265,-73.998195,1,rooftop,461,"Court St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
TBAAR,BROOKLYN,8520,"20TH AVE",11214,"8520 20TH AVE",03/08/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.604992,-73.998056,1,rooftop,8520,"20th Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"TUGBOAT TEA COMPANY",BROOKLYN,546,"FLATBUSH AVENUE",11225,"546 FLATBUSH AVENUE",04/04/17,10E,"Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",13,A,40.660501,-73.960774,1,range_interpolation,546,"Flatbush Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"PRINCE TEA HOUSE",BROOKLYN,6122,"7TH AVE",11220,"6122 7TH AVE",12/07/17,06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,13,A,40.635889,-74.012943,1,rooftop,6122,"7th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"COCOA BAR BROOKLYN",BROOKLYN,228,"7th Ave",11215,"228 7th Ave",10/04/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",13,A,40.670188,-73.979012,1,rooftop,228,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
VINEAPPLE,BROOKLYN,71,"PINEAPPLE STREET",11201,"71 PINEAPPLE STREET",02/14/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.698277,-73.99308,1,rooftop,71,"Pineapple St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"STARBUCKS COFFEE #29856",BROOKLYN,444,"9TH ST",11215,"444 9TH ST",01/18/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.666831,-73.981839,1,rooftop,444,"9th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
MUCHMORE'S,BROOKLYN,2,"HAVEMEYER STREET",11211,"2 HAVEMEYER STREET",08/24/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.71652,-73.952867,1,rooftop,2,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"DAILY PRESS",BROOKLYN,38,"SOMERS ST",11233,"38 SOMERS ST",01/12/18,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",13,A,40.678707,-73.91074,1,rooftop,38,"Somers St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"LIBERTY GRANT CAFE",BROOKLYN,1170,"LIBERTY AVE",11208,"1170 LIBERTY AVE",11/21/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.678778,-73.865927,1,rooftop,1170,"Liberty Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"MILK & PULL CAFE",BROOKLYN,181,"IRVING AVE",11237,"181 IRVING AVE",01/18/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.702065,-73.919508,1,rooftop,181,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"CHARLOTTE PATISSERIE",BROOKLYN,201,"COURT ST",11201,"201 COURT ST",10/17/17,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,13,A,40.687232,-73.993395,1,rooftop,201,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
TBAARS,BROOKLYN,5314,"8TH AVE",11220,"5314 8TH AVE",11/17/17,04M,"Live roaches present in facility's food and/or non-food areas.",Critical,13,A,40.639212,-74.005903,1,rooftop,5314,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"PRINCE TEA HOUSE",BROOKLYN,6122,"7TH AVE",11220,"6122 7TH AVE",12/07/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.635889,-74.012943,1,rooftop,6122,"7th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"CAFE PAULETTE",BROOKLYN,136,"DEKALB AVE",11217,"136 DEKALB AVE",08/10/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,40.689604,-73.975784,1,rooftop,136,"Dekalb Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"BREAD & JOE",BROOKLYN,618,"4TH AVE",11215,"618 4TH AVE",02/10/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.664817,-73.993789,1,rooftop,618,"4th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BEDFORD COFFEE COMPANY/STARBUCKS",BROOKLYN,1650,"BEDFORD AVE",11225,"1650 BEDFORD AVE",11/02/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,13,A,40.66608,-73.95699,1,rooftop,1650,"Bedford Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
CUPER,BROOKLYN,20,"PEARL ST",11201,"20 PEARL ST",11/28/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.704132,-73.987675,1,range_interpolation,20,"Pearl St",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"QATHRA CAFE",BROOKLYN,1112,"CORTELYOU RD",11218,"1112 CORTELYOU RD",08/29/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.639702,-73.967412,1,rooftop,1112,"Cortelyou Rd",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"CAFE PAULETTE",BROOKLYN,136,"DEKALB AVE",11217,"136 DEKALB AVE",08/10/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.689604,-73.975784,1,rooftop,136,"Dekalb Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"GORILLA COFFEE",BROOKLYN,472,"BERGEN ST",11217,"472 BERGEN ST",06/14/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.680855,-73.975673,1,rooftop,472,"Bergen St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
CUPER,BROOKLYN,20,"PEARL ST",11201,"20 PEARL ST",11/28/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.704132,-73.987675,1,range_interpolation,20,"Pearl St",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"DAILY PRESS BED-STUY",BROOKLYN,505,"FRANKLIN AVENUE",11238,"505 FRANKLIN AVENUE",01/31/18,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,13,A,40.681404,-73.955593,1,range_interpolation,505,"Franklin Ave",Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"A GUSTO",BROOKLYN,1450,"FULTON ST",11216,"1450 FULTON ST",09/14/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,40.679905,-73.942818,1,rooftop,1450,"Fulton St",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"TANJIA HUKKA BAR",BROOKLYN,1752,"BATH AVENUE",11214,"1752 BATH AVENUE",01/19/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",13,A,40.604148,-74.00685,1,rooftop,1752,"Bath Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,18151817,"AVENUE U",11229,"18151817 AVENUE U",01/17/18,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.599951,-73.947595,0.8,street_center,,"Ave U",Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
"LAZY IBIS",BROOKLYN,663,"FRANKLIN AVE",11238,"663 FRANKLIN AVE",01/08/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.675778,-73.955974,1,rooftop,663,"Franklin Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"LAZY IBIS",BROOKLYN,663,"FRANKLIN AVE",11238,"663 FRANKLIN AVE",01/24/17,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,13,A,40.675778,-73.955974,1,rooftop,663,"Franklin Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"POSTMARK CAFE",BROOKLYN,326,"6 STREET",11215,"326 6 STREET",12/29/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.671452,-73.981278,1,rooftop,326,"6th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"MILK & PULL CAFE",BROOKLYN,181,"IRVING AVE",11237,"181 IRVING AVE",01/18/18,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,40.702065,-73.919508,1,rooftop,181,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"UPSTATE STOCK",BROOKLYN,2,"BERRY ST",11249,"2 BERRY ST",02/01/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.722471,-73.955049,1,rooftop,2,"Berry St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"VENDOME CAFE",BROOKLYN,360,"FURMAN ST",11201,"360 FURMAN ST",05/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.693799,-73.999357,1,rooftop,360,"Furman St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"PRINCE TEA HOUSE",BROOKLYN,6122,"7TH AVE",11220,"6122 7TH AVE",12/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.635889,-74.012943,1,rooftop,6122,"7th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"VIVI BUBBLE TEA",BROOKLYN,5924,"8TH AVE",11220,"5924 8TH AVE",12/05/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.635678,-74.009573,1,rooftop,5924,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"UPSTATE STOCK",BROOKLYN,2,"BERRY ST",11249,"2 BERRY ST",02/01/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.722471,-73.955049,1,rooftop,2,"Berry St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"LIBERTY GRANT CAFE",BROOKLYN,1170,"LIBERTY AVE",11208,"1170 LIBERTY AVE",11/21/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.678778,-73.865927,1,rooftop,1170,"Liberty Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",04/07/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",13,A,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,18151817,"AVENUE U",11229,"18151817 AVENUE U",01/17/18,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.599951,-73.947595,0.8,street_center,,"Ave U",Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
"VIVI BUBBLE TEA",BROOKLYN,5924,"8TH AVE",11220,"5924 8TH AVE",12/05/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.635678,-74.009573,1,rooftop,5924,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"CAFE PAULETTE",BROOKLYN,136,"DEKALB AVE",11217,"136 DEKALB AVE",08/10/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.689604,-73.975784,1,rooftop,136,"Dekalb Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"KUNG FU TEA",BROOKLYN,2174,"86TH ST",11214,"2174 86TH ST",04/18/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.60203,-73.994311,1,rooftop,2174,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"KUNG FU TEA",BROOKLYN,2174,"86TH ST",11214,"2174 86TH ST",04/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.60203,-73.994311,1,rooftop,2174,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"CHOCOLATE EXPRESSO BAR",BROOKLYN,792,"EASTERN PKWY",11213,"792 EASTERN PKWY",05/11/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.669003,-73.941962,1,rooftop,792,"Eastern Pkwy",Brooklyn,NY,"Kings County",11213,US,"City of New York"
"DAILY PRESS",BROOKLYN,38,"SOMERS ST",11233,"38 SOMERS ST",01/12/18,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.678707,-73.91074,1,rooftop,38,"Somers St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
TBAARS,BROOKLYN,5314,"8TH AVE",11220,"5314 8TH AVE",11/17/17,09C,"Food contact surface not properly maintained.","Not Critical",13,A,40.639212,-74.005903,1,rooftop,5314,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
